instance_encoder_num_hidden_layers,instance_decoder_num_hidden_layers,configuration_encoder_num_hidden_layers,performance_num_hidden_layers,activation,num_hidden_units,epoch,feature_loss,loss,parameter_loss,performance_loss,val_feature_loss,val_loss,val_parameter_loss,val_performance_loss
1,0,0,1,leaky_relu,16,6,0.5491591095924377,0.717738926410675,1.009940505027771,0.0168579593300819,0.5495989918708801,0.7279394865036011,1.0119311809539795,0.0177703164517879
1,0,0,1,leaky_relu,16,7,0.5490003824234009,0.712118923664093,1.0100514888763428,0.0163119416683912,0.5493748188018799,0.7233644723892212,1.0120385885238647,0.0173400361090898
1,0,0,1,leaky_relu,16,8,0.5486970543861389,0.7080921530723572,1.01014244556427,0.0159400403499603,0.5489083528518677,0.7194254398345947,1.0122272968292236,0.016994871199131
1,0,0,1,leaky_relu,16,9,0.5482073426246643,0.7041354179382324,1.0100961923599243,0.0155935361981391,0.5488258600234985,0.7166061997413635,1.0120749473571775,0.0167235694825649
1,0,0,1,leaky_relu,16,10,0.5478756427764893,0.7007679343223572,1.0097850561141968,0.0152902817353606,0.5490131974220276,0.714379608631134,1.0113714933395386,0.0164816528558731
1,2,2,2,tanh,16,1,0.5259419083595276,0.9373520016670228,1.005843162536621,0.0411408059298992,0.4769105315208435,0.7824646830558777,1.0060561895370483,0.0305290203541517
1,2,2,2,tanh,16,2,0.447117269039154,0.7007864117622375,1.005324125289917,0.0253702774643898,0.4490005373954773,0.6953048706054688,1.006529450416565,0.0246302243322134
1,2,2,2,tanh,16,3,0.4260355234146118,0.640682578086853,1.004632592201233,0.0214673336595296,0.4288675785064697,0.6447879076004028,1.0076191425323486,0.0215987768024206
1,2,2,2,tanh,16,4,0.405103862285614,0.5964220762252808,1.0053998231887815,0.019134446978569,0.410224050283432,0.6061992645263672,1.0097123384475708,0.0196064915508031
1,2,2,2,tanh,16,5,0.3878190219402313,0.5649652481079102,1.0073403120040894,0.0177171863615512,0.3973016142845154,0.5817880034446716,1.011673092842102,0.0184527039527893
1,2,2,2,tanh,16,6,0.3758237957954407,0.5451186895370483,1.0086380243301392,0.0169320423156023,0.3861673772335052,0.5635795593261719,1.0124199390411377,0.0177285727113485
1,2,2,2,tanh,16,7,0.3658278584480285,0.5294541120529175,1.0092720985412598,0.0163652822375297,0.3760597109794616,0.5477761030197144,1.0131003856658936,0.0171444825828075
1,2,2,2,tanh,16,8,0.3565111458301544,0.5151474475860596,1.009947657585144,0.0158665087074041,0.3657334446907043,0.5327520966529846,1.014041781425476,0.0166676864027977
1,2,2,2,tanh,16,9,0.347496896982193,0.50144362449646,1.0108964443206787,0.015397822484374,0.3557707369327545,0.5188894867897034,1.014777898788452,0.0162768866866827
1,2,2,2,tanh,16,10,0.3375889360904693,0.4874931275844574,1.011848211288452,0.0149939749389886,0.3440786302089691,0.5037564039230347,1.0153908729553225,0.0159347187727689
0,0,1,0,relu,16,1,0.9050290584564208,2.8401341438293457,0.9961854815483092,0.1934182047843933,0.6368808746337891,1.0799487829208374,0.998053252696991,0.0442473515868186
0,0,1,0,relu,16,2,0.6128436326980591,0.9658504128456116,0.9961017966270448,0.0353071838617324,0.5882580280303955,0.9354293346405028,0.9975745677947998,0.0346140712499618
0,0,1,0,relu,16,3,0.5768963098526001,0.8989272713661194,0.9957379698753356,0.0322096943855285,0.5613073706626892,0.9049519300460817,0.9970418214797974,0.0342569723725318
0,0,1,0,relu,16,4,0.5566531419754028,0.8781073093414307,0.995576560497284,0.0321511961519718,0.547688364982605,0.8913032412528992,0.9970354437828064,0.034259133040905
0,0,1,0,relu,16,5,0.5466105937957764,0.868183434009552,0.995706021785736,0.0321626402437686,0.5413852334022522,0.8849026560783386,0.9972822666168212,0.0342533811926841
