instance_encoder_num_hidden_layers,instance_decoder_num_hidden_layers,configuration_encoder_num_hidden_layers,activation,num_hidden_units,epoch,feature_loss,loss,parameter_loss,performance_loss,val_feature_loss,val_loss,val_parameter_loss,val_performance_loss
0,0,0,leaky_relu,16,3,0.5242860913276672,1.1806840896606445,1.0089839696884155,0.0656493678689003,0.4927772879600525,1.1623822450637817,1.0088893175125122,0.06698684394359589
0,0,0,leaky_relu,16,4,0.46114060282707214,1.1096899509429932,1.0065441131591797,0.06487082690000534,0.46874454617500305,1.1141479015350342,1.005181908607483,0.0645667240023613
0,0,0,leaky_relu,16,5,0.4455637037754059,1.0555027723312378,1.0021023750305176,0.06101327762007713,0.4533991515636444,1.064834713935852,1.0030266046524048,0.061137180775403976
0,0,0,leaky_relu,16,6,0.42999422550201416,1.0176318883895874,1.0038553476333618,0.05878455191850662,0.4365514814853668,1.0396454334259033,1.0060994625091553,0.060311540961265564
0,0,0,leaky_relu,16,7,0.4175473153591156,0.9964050054550171,1.0062543153762817,0.057906877249479294,0.42399394512176514,1.0224695205688477,1.0072895288467407,0.05986405909061432
0,0,0,leaky_relu,16,8,0.409706175327301,0.9818233847618103,1.0062543153762817,0.057233285158872604,0.4164040684700012,1.0109176635742188,1.0067014694213867,0.05948035791516304
0,0,0,leaky_relu,16,9,0.405075341463089,0.9718459248542786,1.0057185888290405,0.05669879913330078,0.4125254452228546,1.003444790840149,1.00650155544281,0.059128161519765854
0,0,0,leaky_relu,16,10,0.40272417664527893,0.9650015234947205,1.0059878826141357,0.056249234825372696,0.4109574556350708,0.9986700415611267,1.0071607828140259,0.058807358145713806
1,1,0,leaky_relu,32,1,0.5086467266082764,1.4570128917694092,0.9957488775253296,0.0948302298784256,0.42111197113990784,1.000038743019104,0.9950013160705566,0.05786207318305969
1,1,0,leaky_relu,32,2,0.3981272280216217,0.9309738874435425,0.993658721446991,0.05330095812678337,0.403033584356308,0.9566906690597534,0.9944170117378235,0.05532868579030037
1,1,0,leaky_relu,32,3,0.3837263882160187,0.9047778248786926,0.9932607412338257,0.05211891606450081,0.3917745053768158,0.9349657297134399,0.9940280914306641,0.054278358817100525
1,1,0,leaky_relu,32,4,0.3743133544921875,0.8888425827026367,0.9930193424224854,0.05146458372473717,0.3834874629974365,0.9206781387329102,0.9937476515769958,0.05368049070239067
1,1,0,leaky_relu,32,5,0.36767762899398804,0.8783389925956726,0.9928398132324219,0.051076244562864304,0.37640276551246643,0.9096243977546692,0.9935547709465027,0.053286828100681305
1,1,0,leaky_relu,32,6,0.3623136878013611,0.8698812127113342,0.992713987827301,0.05076606199145317,0.37009063363075256,0.9005963206291199,0.9934285283088684,0.05301936715841293
1,1,0,leaky_relu,32,7,0.3571828305721283,0.8621273636817932,0.992624044418335,0.05050342530012131,0.36378318071365356,0.8929182887077332,0.9933371543884277,0.052886173129081726
1,1,0,leaky_relu,32,8,0.35134217143058777,0.8536808490753174,0.9925814867019653,0.05024300515651703,0.3582582473754883,0.8851835131645203,0.993323802947998,0.05267097055912018
1,1,0,leaky_relu,32,9,0.34467846155166626,0.8446004986763,0.9926019310951233,0.05000104755163193,0.3496757745742798,0.875483512878418,0.993363082408905,0.05256343632936478
1,1,0,leaky_relu,32,10,0.3358076512813568,0.8343333005905151,0.9926621317863464,0.04986169561743736,0.34086838364601135,0.8663736581802368,0.9934298992156982,0.05253541097044945
3,2,3,leaky_relu,64,1,0.4721651077270508,0.9628270864486694,1.0068670511245728,0.049057092517614365,0.36260753870010376,0.8341315388679504,1.0092307329177856,0.04704299569129944
3,2,3,leaky_relu,64,2,0.32465440034866333,0.7726632356643677,1.0068517923355103,0.0447995699942112,0.31420665979385376,0.7723270654678345,1.0092930793762207,0.045741401612758636
3,2,3,leaky_relu,64,3,0.2841770648956299,0.7256439924240112,1.0068222284317017,0.044146161526441574,0.2866179347038269,0.7405390739440918,1.0096029043197632,0.04534913972020149
3,2,3,leaky_relu,64,4,0.25824159383773804,0.6967952251434326,1.0067598819732666,0.04385603219270706,0.26336830854415894,0.7157119512557983,1.00947904586792,0.045208320021629333
3,2,3,leaky_relu,64,5,0.24023854732513428,0.676262617111206,1.0067846775054932,0.04360395297408104,0.2444736510515213,0.6953525543212891,1.0097177028656006,0.045072589069604874
3,2,3,leaky_relu,64,6,0.2261696457862854,0.660682201385498,1.0068780183792114,0.04345252364873886,0.22708795964717865,0.6770610809326172,1.0097079277038574,0.04498470574617386
3,2,3,leaky_relu,64,7,0.21473048627376556,0.6481181383132935,1.0069087743759155,0.0433405376970768,0.21567726135253906,0.6662420630455017,1.0097870826721191,0.04504678025841713
3,2,3,leaky_relu,64,8,0.20540954172611237,0.6378035545349121,1.0069255828857422,0.04324136674404144,0.20743025839328766,0.6569754481315613,1.009933590888977,0.0449473075568676
3,2,3,leaky_relu,64,9,0.19755329191684723,0.6291244029998779,1.0069549083709717,0.04315978288650513,0.20096933841705322,0.6511330604553223,1.0098676681518555,0.04501168802380562
3,2,3,leaky_relu,64,10,0.19048082828521729,0.6213515400886536,1.006983995437622,0.04308982938528061,0.19270238280296326,0.6431172490119934,1.010009765625,0.04503853619098663
1,1,3,tanh,64,1,0.480329692363739,1.1392333507537842,1.005203366279602,0.06589038670063019,0.43459632992744446,1.0376718044281006,1.005776286125183,0.060260821133852005
1,1,3,tanh,64,2,0.43147674202919006,0.9876594543457031,1.005639910697937,0.05562259629368782,0.43952813744544983,1.008906602859497,1.0070546865463257,0.056895967572927475
1,1,3,tanh,64,3,0.4329988658428192,0.9622951149940491,1.0055917501449585,0.052933644503355026,0.44090592861175537,0.994752824306488,1.0070863962173462,0.055344358086586
1,1,3,tanh,64,4,0.42924898862838745,0.9451566934585571,1.005362868309021,0.05159404128789902,0.4310000538825989,0.9737498760223389,1.0060666799545288,0.05423744395375252
1,1,3,tanh,64,5,0.41560181975364685,0.9211231470108032,1.0053457021713257,0.050555020570755005,0.4186287224292755,0.9518110156059265,1.0050342082977295,0.05329997092485428
1,1,3,tanh,64,6,0.40649130940437317,0.9033765196800232,1.005463719367981,0.04969088360667229,0.4126781225204468,0.9401153922080994,1.005359172821045,0.0527404248714447
1,1,3,tanh,64,7,0.40066906809806824,0.8902850151062012,1.0056043863296509,0.04896305128931999,0.408566415309906,0.9296955466270447,1.0057411193847656,0.05212625488638878
